trial, "Trial 26: Tomato open_w_MAC_addresses. 5.0000 broadcast";
1-/device-4, blinking;
1-/device-1, blinking;
1-/device-6, blinking;
1-/device-8, blinking;
1-/device-3, blinking;
1-/device-5, blinking;
1-/device-7, blinking;
1-/device-2, blinking;
2-/device-4, solid;
2-/device-7, solid;
2-/device-6, solid;
2-/device-8, solid;
2-/device-5, solid;
2-/device-1, solid;
2-/device-3, solid;
2-/device-2, solid;
3-/device-5, random;
3-/device-4, random;
3-/device-7, random;
3-/device-1, random;
3-/device-8, random;
3-/device-3, random;
3-/device-2, random;
3-/device-6, random;
4-/device-5, solid;
4-/device-1, solid;
4-/device-4, solid;
4-/device-7, solid;
4-/device-6, solid;
4-/device-8, solid;
4-/device-2, solid;
4-/device-3, solid;
5-/device-5, blinking;
5-/device-6, blinking;
5-/device-4, blinking;
5-/device-8, blinking;
5-/device-7, blinking;
5-/device-1, blinking;
5-/device-3, blinking;
5-/device-2, blinking;
6-/device-4, blinking;
6-/device-6, blinking;
6-/device-1, blinking;
6-/device-7, blinking;
6-/device-5, blinking;
6-/device-8, blinking;
6-/device-3, blinking;
6-/device-2, blinking;
7-/device-1, blinking;
7-/device-4, blinking;
7-/device-6, blinking;
7-/device-7, blinking;
7-/device-5, blinking;
7-/device-8, blinking;
7-/device-2, blinking;
8-/device-4, blinking;
8-/device-1, random;
8-/device-5, random;
8-/device-6, random;
8-/device-8, random;
8-/device-7, random;
8-/device-3, random;
8-/device-2, random;
9-/device-1, random;
9-/device-4, random;
9-/device-7, random;
9-/device-6, random;
9-/device-8, random;
9-/device-5, random;
9-/device-2, random;
10-/device-1, solid;
10-/device-4, solid;
10-/device-7, solid;
10-/device-5, solid;
10-/device-8, solid;
10-/device-6, solid;
10-/device-2, solid;
10-/device-3, solid;
11-/device-4, blinking;
11-/device-5, blinking;
11-/device-1, blinking;
11-/device-6, blinking;
11-/device-7, blinking;
11-/device-8, blinking;
11-/device-3, blinking;
11-/device-2, blinking;
12-/device-1, blinking;
12-/device-5, blinking;
12-/device-4, blinking;
12-/device-6, blinking;
12-/device-8, blinking;
12-/device-3, blinking;
12-/device-7, blinking;
12-/device-2, blinking;
13-/device-6, random;
13-/device-4, random;
13-/device-1, random;
13-/device-7, random;
13-/device-8, random;
13-/device-3, random;
13-/device-5, random;
13-/device-2, random;
14-/device-1, random;
14-/device-4, random;
14-/device-8, random;
14-/device-5, random;
14-/device-7, random;
14-/device-3, random;
14-/device-6, random;
14-/device-2, random;
15-/device-4, random;
15-/device-1, random;
15-/device-5, random;
15-/device-8, random;
15-/device-6, random;
15-/device-7, random;
15-/device-3, random;
15-/device-2, random;
16-/device-4, solid;
16-/device-1, solid;
16-/device-7, solid;
16-/device-5, solid;
16-/device-6, solid;
16-/device-8, solid;
16-/device-2, solid;
16-/device-3, solid;
